City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
5,Rikitea,PF,78.58,scattered clouds,-23.1203,-134.9692,People ThankYou
8,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
13,Inirida,CO,80.37,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
28,Hithadhoo,MV,82.69,overcast clouds,-0.6,73.0833,Scoop Guest House
36,Sao Gabriel Da Cachoeira,BR,78.6,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
38,Santa Helena,BR,82.2,overcast clouds,-2.2311,-45.3,Turi Plaza Hotel
45,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
47,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
48,Hermanus,ZA,88.9,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
49,Conde,BR,87.26,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
52,Atuona,PF,78.39,few clouds,-9.8,-139.0333,Villa Enata
56,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
57,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
59,Piacabucu,BR,87.26,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
68,Kribi,CM,82.36,few clouds,2.95,9.9167,La Grace Hôtel
70,Namatanai,PG,80.47,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
72,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
73,Chuy,UY,80.87,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
76,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
86,La Romana,DO,82.76,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
89,Arraial Do Cabo,BR,89.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
95,Kidal,ML,78.35,clear sky,18.4411,1.4078,
97,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
100,Bandarbeyla,SO,76.17,few clouds,9.4942,50.8122,JABIR HOTEL
102,Kavaratti,IN,78.98,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
106,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
107,Faanui,PF,80.91,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
108,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
113,Taoudenni,ML,81.86,scattered clouds,22.6783,-3.9836,
115,Dingle,PH,75.15,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
117,Princeton,US,81.0,scattered clouds,25.5384,-80.4089,American Best Inn
118,Altamira,BR,81.18,overcast clouds,-3.2033,-52.2064,Requinte Hotel
121,Ambon,ID,78.94,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
123,Cacapava Do Sul,BR,88.47,overcast clouds,-30.5122,-53.4914,Hotel Portal
124,Labuhan,ID,78.96,overcast clouds,-6.8844,112.2051,DoubleFAG
129,Manoel Urbano,BR,80.76,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
134,Sosua,DO,80.58,broken clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
136,Bubaque,GW,79.52,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
140,Tawau,MY,77.13,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
143,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
147,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
159,Caravelas,BR,85.19,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
165,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
173,Aquiraz,BR,86.09,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
178,Namibe,AO,77.63,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
184,San Andres,CO,77.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
185,Isla Mujeres,MX,78.85,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
186,Road Town,VG,77.09,thunderstorm with light rain,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
