City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ouallam,NE,2/3/2022 21:01,14.3188,2.0866,71.19,12,6,11.36
1,Puerto Escondido,MX,2/3/2022 21:01,15.85,-97.0667,83.66,54,0,8.08
2,Nikolskoye,RU,2/3/2022 21:01,59.7035,30.7861,3.09,100,97,1.48
3,Balikpapan,ID,2/3/2022 21:01,-1.2675,116.8289,77.99,83,40,2.3
4,Tasiilaq,GL,2/3/2022 21:01,65.6145,-37.6368,12.36,59,100,7.09
5,Aquiraz,BR,2/3/2022 21:01,-3.9014,-38.3911,83.17,81,65,8.84
6,Cape Town,ZA,2/3/2022 21:01,-33.9258,18.4232,65.08,65,8,1.99
7,Dikson,RU,2/3/2022 21:01,73.5069,80.5464,-15.99,99,100,5.14
8,Vaini,TO,2/3/2022 21:01,-21.2,-175.2,80.91,78,88,11.39
9,New Norfolk,AU,2/3/2022 21:01,-42.7826,147.0587,50.76,77,14,1.83
10,Carnarvon,AU,2/3/2022 21:01,-24.8667,113.6333,78.15,78,37,12.71
11,Lorengau,PG,2/3/2022 21:01,-2.0226,147.2712,78.96,82,100,5.93
12,Cayenne,GF,2/3/2022 21:01,4.9333,-52.3333,78.1,89,75,3
13,Tuktoyaktuk,CA,2/3/2022 21:01,69.4541,-133.0374,-18.54,99,100,10.45
14,Albany,US,2/3/2022 21:00,42.6001,-73.9662,42.19,94,100,4.38
15,Poum,NC,2/3/2022 21:01,-20.2333,164.0167,81.9,84,96,14.32
16,Souillac,MU,2/3/2022 21:01,-20.5167,57.5167,80.37,90,100,25.01
17,Castro,BR,2/3/2022 21:01,-24.7911,-50.0119,71.56,91,71,3.38
18,Port Hardy,CA,2/3/2022 21:01,50.6996,-127.4199,42.76,93,100,13.27
19,Faya,SA,2/3/2022 21:01,18.3851,42.4509,57.72,72,55,3.38
20,Shingu,JP,2/3/2022 21:01,33.7333,135.9833,40.91,72,89,6.78
21,Kardla,EE,2/3/2022 21:01,58.9978,22.7492,24.06,92,70,7.58
22,Samsun,TR,2/3/2022 21:00,41.25,36.3333,48.99,73,100,8.01
23,Ushuaia,AR,2/3/2022 21:01,-54.8,-68.3,47.3,59,100,5.23
24,Magadan,RU,2/3/2022 21:01,59.5667,150.8,0.81,75,25,10.31
25,Hobart,AU,2/3/2022 20:59,-42.8794,147.3294,51.12,87,20,1.01
26,Jalingo,NG,2/3/2022 21:01,8.8833,11.3667,74.86,18,2,4.09
27,Belmonte,BR,2/3/2022 21:01,-15.8631,-38.8828,80.37,76,21,8.72
28,Praya,CV,2/3/2022 21:01,14.9215,-23.5087,73.94,53,0,6.91
29,Zabol,AF,2/3/2022 21:01,32.25,67.25,31.57,57,0,10.25
30,Zyryanskoye,RU,2/3/2022 21:01,56.8306,86.6258,10.99,95,98,8.01
31,Bredasdorp,ZA,2/3/2022 21:01,-34.5322,20.0403,63.28,73,12,6.82
32,Saint-Philippe,RE,2/3/2022 21:01,-21.3585,55.7679,80.15,94,100,33.4
33,Abapo,BO,2/3/2022 21:01,-18.8333,-63.4667,86.61,45,50,12.86
34,Sitka,US,2/3/2022 21:01,57.0531,-135.33,36.43,95,100,7.83
35,Barrow,US,2/3/2022 21:01,71.2906,-156.7887,-25.58,68,0,0
36,Dingle,PH,2/3/2022 21:01,10.9995,122.6711,74.5,93,94,7.87
37,Botou,CN,2/3/2022 21:01,38.0667,116.5667,24.58,45,81,7.25
38,Nouakchott,MR,2/3/2022 21:01,18.0858,-15.9785,80.53,24,0,11.77
39,Busselton,AU,2/3/2022 21:01,-33.65,115.3333,79.05,40,47,7.94
40,Kavieng,PG,2/3/2022 21:01,-2.5744,150.7967,81.03,77,93,8.39
41,Nemuro,JP,2/3/2022 21:01,43.3236,145.575,21.07,71,15,13.38
42,Necochea,AR,2/3/2022 21:00,-38.5473,-58.7368,77.04,64,100,12.77
43,Srednekolymsk,RU,2/3/2022 21:01,67.45,153.6833,-37.32,100,48,1.28
44,Rikitea,PF,2/3/2022 21:01,-23.1203,-134.9692,77.61,77,100,16.17
45,Khatanga,RU,2/3/2022 21:01,71.9667,102.5,-33.39,100,33,3.15
46,Makakilo City,US,2/3/2022 21:01,21.3469,-158.0858,77.68,52,1,9.42
47,Mount Isa,AU,2/3/2022 21:01,-20.7333,139.5,71.37,43,100,14.97
48,Avarua,CK,2/3/2022 21:01,-21.2078,-159.775,82.45,78,75,17.27
49,Mataura,NZ,2/3/2022 21:01,-46.1927,168.8643,52.48,99,100,0.18
50,Arraial Do Cabo,BR,2/3/2022 21:01,-22.9661,-42.0278,75.7,89,100,13.69
51,Kahului,US,2/3/2022 21:01,20.8947,-156.47,78.96,72,3,10
52,Gotsu,JP,2/3/2022 21:01,35,132.2167,41.56,55,100,11.56
53,Saint-Pierre,RE,2/3/2022 21:01,-21.3393,55.4781,80.24,93,100,29.53
54,Pocone,BR,2/3/2022 21:01,-16.2567,-56.6228,82.71,80,82,5.95
55,Manacapuru,BR,2/3/2022 21:01,-3.2997,-60.6206,81.72,74,70,2.1
56,Newcastleton,GB,2/3/2022 21:01,55.1796,-2.8127,48.24,94,100,15.41
57,Bethel,US,2/3/2022 21:01,41.3712,-73.414,43.41,100,100,2.82
58,Ouallam,NE,2/3/2022 21:01,14.3188,2.0866,71.19,12,6,11.36
59,Puerto Escondido,MX,2/3/2022 21:01,15.85,-97.0667,83.66,54,0,8.08
60,Nikolskoye,RU,2/3/2022 21:01,59.7035,30.7861,3.09,100,97,1.48
61,Balikpapan,ID,2/3/2022 21:01,-1.2675,116.8289,77.99,83,40,2.3
62,Tasiilaq,GL,2/3/2022 21:01,65.6145,-37.6368,12.36,59,100,7.09
63,Aquiraz,BR,2/3/2022 21:01,-3.9014,-38.3911,83.17,81,65,8.84
64,Cape Town,ZA,2/3/2022 21:01,-33.9258,18.4232,65.08,65,8,1.99
65,Dikson,RU,2/3/2022 21:01,73.5069,80.5464,-15.99,99,100,5.14
66,Vaini,TO,2/3/2022 21:01,-21.2,-175.2,80.91,78,88,11.39
67,New Norfolk,AU,2/3/2022 21:01,-42.7826,147.0587,50.76,77,14,1.83
68,Carnarvon,AU,2/3/2022 21:01,-24.8667,113.6333,78.15,78,37,12.71
69,Lorengau,PG,2/3/2022 21:01,-2.0226,147.2712,78.96,82,100,5.93
70,Cayenne,GF,2/3/2022 21:01,4.9333,-52.3333,78.1,89,75,3
71,Tuktoyaktuk,CA,2/3/2022 21:01,69.4541,-133.0374,-18.54,99,100,10.45
72,Albany,US,2/3/2022 21:00,42.6001,-73.9662,42.19,94,100,4.38
73,Poum,NC,2/3/2022 21:01,-20.2333,164.0167,81.9,84,96,14.32
74,Souillac,MU,2/3/2022 21:01,-20.5167,57.5167,80.37,90,100,25.01
75,Castro,BR,2/3/2022 21:01,-24.7911,-50.0119,71.56,91,71,3.38
76,Port Hardy,CA,2/3/2022 21:01,50.6996,-127.4199,42.76,93,100,13.27
77,Faya,SA,2/3/2022 21:01,18.3851,42.4509,57.72,72,55,3.38
78,Shingu,JP,2/3/2022 21:01,33.7333,135.9833,40.91,72,89,6.78
79,Kardla,EE,2/3/2022 21:01,58.9978,22.7492,24.06,92,70,7.58
80,Samsun,TR,2/3/2022 21:00,41.25,36.3333,48.99,73,100,8.01
81,Ushuaia,AR,2/3/2022 21:01,-54.8,-68.3,47.3,59,100,5.23
82,Magadan,RU,2/3/2022 21:01,59.5667,150.8,0.81,75,25,10.31
83,Hobart,AU,2/3/2022 20:59,-42.8794,147.3294,51.12,87,20,1.01
84,Jalingo,NG,2/3/2022 21:01,8.8833,11.3667,74.86,18,2,4.09
85,Belmonte,BR,2/3/2022 21:01,-15.8631,-38.8828,80.37,76,21,8.72
86,Praya,CV,2/3/2022 21:01,14.9215,-23.5087,73.94,53,0,6.91
87,Zabol,AF,2/3/2022 21:01,32.25,67.25,31.57,57,0,10.25
88,Zyryanskoye,RU,2/3/2022 21:01,56.8306,86.6258,10.99,95,98,8.01
89,Bredasdorp,ZA,2/3/2022 21:01,-34.5322,20.0403,63.28,73,12,6.82
90,Saint-Philippe,RE,2/3/2022 21:01,-21.3585,55.7679,80.15,94,100,33.4
91,Abapo,BO,2/3/2022 21:01,-18.8333,-63.4667,86.61,45,50,12.86
92,Sitka,US,2/3/2022 21:01,57.0531,-135.33,36.43,95,100,7.83
93,Barrow,US,2/3/2022 21:01,71.2906,-156.7887,-25.58,68,0,0
94,Dingle,PH,2/3/2022 21:01,10.9995,122.6711,74.5,93,94,7.87
95,Botou,CN,2/3/2022 21:01,38.0667,116.5667,24.58,45,81,7.25
96,Nouakchott,MR,2/3/2022 21:01,18.0858,-15.9785,80.53,24,0,11.77
97,Busselton,AU,2/3/2022 21:01,-33.65,115.3333,79.05,40,47,7.94
98,Kavieng,PG,2/3/2022 21:01,-2.5744,150.7967,81.03,77,93,8.39
99,Nemuro,JP,2/3/2022 21:01,43.3236,145.575,21.07,71,15,13.38
100,Necochea,AR,2/3/2022 21:00,-38.5473,-58.7368,77.04,64,100,12.77
101,Srednekolymsk,RU,2/3/2022 21:01,67.45,153.6833,-37.32,100,48,1.28
102,Rikitea,PF,2/3/2022 21:01,-23.1203,-134.9692,77.61,77,100,16.17
103,Khatanga,RU,2/3/2022 21:01,71.9667,102.5,-33.39,100,33,3.15
104,Makakilo City,US,2/3/2022 21:01,21.3469,-158.0858,77.68,52,1,9.42
