City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Aklavik,CA,68.2191,-135.0107,-31.97,66,20,4.61,few clouds
1,Ribeira Grande,PT,38.5167,-28.7,63.0,72,75,12.66,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,66.31,52,75,35.68,broken clouds
3,Kodiak,US,57.79,-152.4072,35.11,80,0,3.44,clear sky
4,Nusaybin,TR,37.0778,41.2178,43.2,47,1,11.86,clear sky
5,Rikitea,PF,-23.1203,-134.9692,78.58,73,41,13.0,scattered clouds
6,Hobart,AU,-42.8794,147.3294,60.03,77,100,4.61,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,60.46,41,40,8.05,scattered clouds
8,Iquitos,PE,-3.7481,-73.2472,82.44,83,75,9.22,broken clouds
9,Srednekolymsk,RU,67.45,153.6833,-39.68,100,47,3.38,scattered clouds
10,Pevek,RU,69.7008,170.3133,-28.19,99,20,3.27,few clouds
11,Zaozerne,UA,45.1582,33.2787,41.95,73,100,15.19,overcast clouds
12,Christchurch,NZ,-43.5333,172.6333,53.91,94,75,1.01,broken clouds
13,Inirida,CO,3.8653,-67.9239,80.37,84,55,3.56,broken clouds
14,Atar,MR,20.5169,-13.0499,90.86,5,0,4.18,clear sky
15,Mataura,NZ,-46.1927,168.8643,40.46,98,15,1.23,few clouds
16,Dikson,RU,73.5069,80.5464,-18.62,100,96,3.74,overcast clouds
17,Roma,US,43.2128,-75.4557,17.44,77,75,13.8,broken clouds
18,Port Alfred,ZA,-33.5906,26.891,70.41,82,98,24.25,light rain
19,Busselton,AU,-33.65,115.3333,69.04,73,0,3.18,clear sky
20,Kaitangata,NZ,-46.2817,169.8464,45.18,91,39,4.9,scattered clouds
21,Khatanga,RU,71.9667,102.5,-33.23,100,84,1.63,broken clouds
22,Hengyang,CN,26.8881,112.615,43.79,83,99,3.69,overcast clouds
23,Jamestown,US,42.097,-79.2353,17.29,53,40,5.01,scattered clouds
24,Ancud,CL,-41.8697,-73.8203,71.22,59,3,5.95,clear sky
25,Makakilo City,US,21.3469,-158.0858,65.61,83,0,4.61,clear sky
26,Kapaa,US,22.0752,-159.319,66.18,78,20,4.61,few clouds
27,Tongren,CN,27.7172,109.1853,43.54,77,100,5.61,overcast clouds
28,Hithadhoo,MV,-0.6,73.0833,82.69,74,100,11.5,overcast clouds
29,Yerbogachen,RU,61.2767,108.0108,11.01,95,100,6.33,light snow
30,Kharp,RU,66.8014,65.8081,-6.41,96,40,5.12,scattered clouds
31,Cape Town,ZA,-33.9258,18.4232,90.12,45,72,4.0,broken clouds
32,Portland,US,45.5234,-122.6762,44.91,94,100,0.0,mist
33,Saldanha,ZA,-33.0117,17.9442,72.66,59,13,13.24,few clouds
34,Bethel,US,41.3712,-73.414,25.48,77,75,6.91,broken clouds
35,Leninsk-Kuznetskiy,RU,54.6567,86.1737,14.31,91,100,4.61,overcast clouds
36,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.6,89,40,2.3,scattered clouds
37,Airai,TL,-8.9266,125.4092,60.69,91,85,2.19,overcast clouds
38,Santa Helena,BR,-2.2311,-45.3,82.2,79,99,4.05,overcast clouds
39,Bluff,NZ,-46.6,168.3333,50.2,79,30,6.26,scattered clouds
40,Sobolevo,RU,54.4299,31.8996,22.69,95,100,13.09,snow
41,Presque Isle,US,46.6811,-68.0159,12.18,72,100,7.0,overcast clouds
42,Skibbereen,IE,51.55,-9.2667,52.11,82,100,31.09,overcast clouds
43,Te Anau,NZ,-45.4167,167.7167,40.42,94,15,2.42,few clouds
44,Mar Del Plata,AR,-38.0023,-57.5575,67.08,90,100,1.99,light rain
45,Puerto Ayora,EC,-0.7393,-90.3518,84.16,89,53,4.0,broken clouds
46,Albany,US,42.6001,-73.9662,18.81,72,32,4.0,scattered clouds
47,Bathsheba,BB,13.2167,-59.5167,83.01,57,20,18.41,few clouds
48,Hermanus,ZA,-34.4187,19.2345,88.9,56,53,22.06,broken clouds
49,Conde,BR,-7.2597,-34.9075,87.26,62,75,12.66,broken clouds
50,Camana,PE,-16.6228,-72.7111,74.93,69,78,9.86,broken clouds
